Locality	Population Density	Taxes	Income
6042	1985	464265531.7	2625408378
6043	1985	464265531.7	2625408378
6044	1985	464265531.7	2625408378
6060	1985	464265531.7	2625408378
6061	1985	464265531.7	2625408378
6075	385	68915730.23	345725369.5
6099	385	68915730.23	345725369.5
6110	666	50402141.85	202088977.2
6111	666	50402141.85	202088977.2
612	5949	449947939.5	2131778502
6120	302	71110784.87	277872088.2
6140	632	50408337.19	258572101.5
6141	632	50408337.19	258572101.5
6142	632	50408337.19	258572101.5
6150	745	33100555.14	175992437
6180	704	88244311.62	451191408.2
6181	704	88244311.62	451191408.2
6182	704	88244311.62	451191408.2
6183	704	88244311.62	451191408.2
6200	1302	83116903.28	479578872.1
6210	223	44045340.18	177575679.6
6211	223	44045340.18	177575679.6
6220	385	68915730.23	345725369.5
6221	385	68915730.23	345725369.5
6222	385	68915730.23	345725369.5
6223	385	68915730.23	345725369.5
6224	385	68915730.23	345725369.5
6230	315	73531592.33	308664786.5
6238	315	73531592.33	308664786.5
6240	1099	19777100.41	129643632.7
6250	490	33046025.59	163195698.2
6280	270	61783672.08	248459889
6440	47	10455176.5	56418297.08
6441	47	10455176.5	56418297.08
6460	49	26788203.1	140649038.5
6461	49	26788203.1	140649038.5
6462	49	26788203.1	140649038.5
6463	49	26788203.1	140649038.5
6464	49	26788203.1	140649038.5
6470	66	14704860.88	73289529.31
6500	76	23291463.36	110278660.2
6511	76	23291463.36	110278660.2
6530	194	60847801.89	262040766.8
6531	194	60847801.89	262040766.8
6532	194	60847801.89	262040766.8
6533	194	60847801.89	262040766.8
6534	194	60847801.89	262040766.8
6536	194	60847801.89	262040766.8
6540	185	23958537.97	102006616.4
6542	185	23958537.97	102006616.4
6543	185	23958537.97	102006616.4
6560	225	26500827.54	140856830.6
6567	137	13212189.03	64174881.82
6590	61	12174240.9	70079189.13
6591	61	12174240.9	70079189.13
6592	61	12174240.9	70079189.13
6593	61	12174240.9	70079189.13
6594	61	12174240.9	70079189.13
6596	61	12174240.9	70079189.13
6600	98	31587902.17	244999424.3
6630	69	2394576.376	29485591.81
6637	33	4087160.171	38291736.78
6640	46	11551807.59	86537626.78
6660	32	12782487.78	80754090.88
6661	32	12782487.78	80754090.88
6662	32	12782487.78	80754090.88
6663	32	12782487.78	80754090.88
6666	32	12782487.78	80754090.88
6670	33	10298116.02	75829199.18
6671	33	10298116.02	75829199.18
6672	33	10298116.02	75829199.18
6673	33	10298116.02	75829199.18
6674	33	10298116.02	75829199.18
6680	28	6022805.047	38037272.8
6681	28	6022805.047	38037272.8
6686	41	7514848.279	53762367.25
6687	41	7514848.279	53762367.25
6688	41	7514848.279	53762367.25
6690	56	21174500.57	118511048
6692	56	21174500.57	118511048
6698	56	21174500.57	118511048
6700	263	57281818.89	586341258.4
6704	263	57281818.89	586341258.4
6706	263	57281818.89	586341258.4
6717	82	9459540.862	120010213.2
6720	84	16248451.23	155784484.7
6721	84	16248451.23	155784484.7
6723	84	16248451.23	155784484.7
6724	84	16248451.23	155784484.7
6730	56	9269273.567	69383680.06
6740	76	12188060.48	113405724.1
6741	76	12188060.48	113405724.1
6742	76	12188060.48	113405724.1
6743	76	12188060.48	113405724.1
6747	103	6430427.937	66327886.97
6750	132	7134427.012	76473388.19
6760	119	27601550	185606264.7
6761	119	27601550	185606264.7
6762	119	27601550	185606264.7
6767	76	4950932.358	33151544.89
6769	51	7156662.197	45059433.37
6780	162	10852699.03	165044537
6781	162	10852699.03	165044537
6782	162	10852699.03	165044537
6790	387	18635618.79	263513777.4
6791	387	18635618.79	263513777.4
6792	387	18635618.79	263513777.4
6800	67	34072093.55	183072755.3
6810	47	12789377.85	83437430.26
6811	47	12789377.85	83437430.26
6812	47	12789377.85	83437430.26
6813	47	12789377.85	83437430.26
6820	39	14127919.69	87118356.08
6821	39	14127919.69	87118356.08
6823	39	14127919.69	87118356.08
6824	39	14127919.69	87118356.08
6830	36	14527550.81	81970716.09
6831	36	14527550.81	81970716.09
6832	36	14527550.81	81970716.09
6833	36	14527550.81	81970716.09
6834	36	14527550.81	81970716.09
6836	36	14527550.81	81970716.09
6838	36	14527550.81	81970716.09
6840	72	18648578.35	119923112.8
6850	50	14489231.59	79910833.22
6851	50	14489231.59	79910833.22
6852	50	14489231.59	79910833.22
6853	50	14489231.59	79910833.22
6856	50	14489231.59	79910833.22
6860	34	10051645.98	85699047.21
6870	51	17118963.17	89534587.39
6880	65	23809567.2	132163002.4
6887	30	4320676.073	25228001.03
6890	38	16234430.31	83177577.02
6900	147	57751293.88	276283335.5
6920	46	9316842.881	47570987.12
6921	46	9316842.881	47570987.12
6922	46	9316842.881	47570987.12
6924	46	9316842.881	47570987.12
6927	45	8161083.125	39755779.39
6929	25	3772676.632	20869066.73
6940	73	33993403.16	174787418
6941	73	33993403.16	174787418
6950	51	17573104.05	86999761.81
6951	51	17573104.05	86999761.81
6952	51	17573104.05	86999761.81
6953	51	17573104.05	86999761.81
6960	31	11449761.68	56386993.73
6970	31	8326887.608	45344008.49
6971	31	8326887.608	45344008.49
6972	31	8326887.608	45344008.49
6980	28	11147108.8	63937756.2
6982	28	11147108.8	63937756.2
6983	28	11147108.8	63937756.2
6984	28	11147108.8	63937756.2
6986	28	11147108.8	63937756.2
6987	39	7464381.084	38728443.45
6990	100	16315363.49	81311587.43
6997	42	10036796.81	50597702.92
7000	653	317077415.4	1446530680
7010	653	317077415.4	1446530680
7011	653	317077415.4	1446530680
7012	653	317077415.4	1446530680
7020	653	317077415.4	1446530680
7021	653	317077415.4	1446530680
7022	653	317077415.4	1446530680
7024	653	317077415.4	1446530680
7030	653	317077415.4	1446530680
7031	653	317077415.4	1446530680
7032	653	317077415.4	1446530680
7033	653	317077415.4	1446530680
7034	653	317077415.4	1446530680
7040	125	33362837.34	143286672.9
7041	125	33362837.34	143286672.9
7050	187	51293361.59	193867886.4
7060	261	104127318.3	451625435.7
7061	261	104127318.3	451625435.7
7062	261	104127318.3	451625435.7
7063	261	104127318.3	451625435.7
7070	201	36136319.64	151027423.1
7080	831	60917476.98	316660785.4
7090	276	89498487.73	379195100
7100	1258	211780143.4	1123144218
7110	1258	211780143.4	1123144218
7120	109	28692451.33	128134492.7
7130	550	99745491.22	509659366.2
7131	550	99745491.22	509659366.2
7133	550	99745491.22	509659366.2
7134	550	99745491.22	509659366.2
7140	941	55533970.07	286344709.2
7141	941	55533970.07	286344709.2
7160	815	41591913.18	216426965.6
7170	1241	62281664.64	329009528
7180	182	50065719.37	204548690.3
7181	182	50065719.37	204548690.3
7190	332	40791276.99	182838186.7
7191	332	40791276.99	182838186.7
7300	1010	46865353.35	270047911
7301	1010	46865353.35	270047911
7320	271	36398033.85	181266258.7
7321	271	36398033.85	181266258.7
7322	271	36398033.85	181266258.7
7330	336	80738843.22	378346520.1
7331	336	80738843.22	378346520.1
7332	336	80738843.22	378346520.1
7333	336	80738843.22	378346520.1
7334	336	80738843.22	378346520.1
7340	1509	43417732.7	262322100.6
7350	258	19853573.95	100767293.6
7370	493	44947919.96	240743341.6
7380	320	17650864.36	95266000.06
7382	320	17650864.36	95266000.06
7387	117	19469220.52	87871385.51
7390	1691	42989705.2	251390576
7500	318	237338185.8	1136160464
7501	318	237338185.8	1136160464
7502	318	237338185.8	1136160464
7503	318	237338185.8	1136160464
7504	318	237338185.8	1136160464
7506	318	237338185.8	1136160464
7510	318	237338185.8	1136160464
7511	318	237338185.8	1136160464
7512	318	237338185.8	1136160464
7513	318	237338185.8	1136160464
7520	318	237338185.8	1136160464
7521	318	237338185.8	1136160464
7522	318	237338185.8	1136160464
7530	318	237338185.8	1136160464
7531	318	237338185.8	1136160464
7532	318	237338185.8	1136160464
7533	318	237338185.8	1136160464
7534	318	237338185.8	1136160464
7536	318	237338185.8	1136160464
7538	318	237338185.8	1136160464
7540	318	237338185.8	1136160464
7542	318	237338185.8	1136160464
7543	318	237338185.8	1136160464
7548	318	237338185.8	1136160464
7600	284	49872115.74	254063851.5
7601	284	49872115.74	254063851.5
7602	284	49872115.74	254063851.5
7603	284	49872115.74	254063851.5
7604	284	49872115.74	254063851.5
7608	284	49872115.74	254063851.5
7610	223	16333958.13	82977760.66
7611	223	16333958.13	82977760.66
7618	223	16333958.13	82977760.66
7620	174	25951749.5	126289341.1
7621	174	25951749.5	126289341.1
7622	174	25951749.5	126289341.1
7623	174	25951749.5	126289341.1
7624	174	25951749.5	126289341.1
7640	243	22396240.93	116729499.3
7641	243	22396240.93	116729499.3
7642	243	22396240.93	116729499.3
7643	243	22396240.93	116729499.3
7700	1477	144797876.1	824752621.3
7711	1477	144797876.1	824752621.3
7712	1477	144797876.1	824752621.3
7730	335	28776451.47	163609102.8
7740	180	18422292.34	91240110.68
7742	180	18422292.34	91240110.68
7743	180	18422292.34	91240110.68
7750	143	13436932.77	62014774.93
7760	85	19120502.82	91260532.17
7780	300	39702354.3	255072436.2
7781	300	39702354.3	255072436.2
7782	300	39702354.3	255072436.2
7783	300	39702354.3	255072436.2
7784	300	39702354.3	255072436.2
7800	235	115268307.2	502474026.6
7801	235	115268307.2	502474026.6
7802	235	115268307.2	502474026.6
7803	235	115268307.2	502474026.6
7804	235	115268307.2	502474026.6
7810	235	115268307.2	502474026.6
7811	235	115268307.2	502474026.6
7812	235	115268307.2	502474026.6
7822	235	115268307.2	502474026.6
7823	235	115268307.2	502474026.6
7830	124	40207306.11	159965388.7
7850	124	40207306.11	159965388.7
7860	258	62436510.82	297980244
7861	258	62436510.82	297980244
7862	258	62436510.82	297980244
7863	258	62436510.82	297980244
7864	258	62436510.82	297980244
7866	258	62436510.82	297980244
7870	93	17317638.6	74156754.52
7880	148	13959831.36	60754366.7
7890	132	22983270.11	103457337
7900	191	48018154.22	225711402.5
7901	191	48018154.22	225711402.5
7903	191	48018154.22	225711402.5
7904	191	48018154.22	225711402.5
7906	191	48018154.22	225711402.5
7910	108	42713105.12	197671668.9
7911	108	42713105.12	197671668.9
7912	108	42713105.12	197671668.9
7940	135	12765693.1	58007483.85
7941	135	12765693.1	58007483.85
7942	135	12765693.1	58007483.85
7943	135	12765693.1	58007483.85
7950	151	25382689.83	113477065.4
7951	151	25382689.83	113477065.4
7970	229	46928110.1	222259655.1
7971	229	46928110.1	222259655.1
7972	229	46928110.1	222259655.1
7973	229	46928110.1	222259655.1
8000	850	534224868.1	2260481804
8020	303	104962889.5	439312016.2
8200	850	534224868.1	2260481804
8210	387	97288979.31	416371126.6
8211	387	97288979.31	416371126.6
8300	528	191782071.2	806121702.9
8301	528	191782071.2	806121702.9
8310	850	534224868.1	2260481804
8340	124	47945365.41	205066592
8370	1081	67411786.4	343973373.6
8377	55	12823514.98	53101180.43
8380	850	534224868.1	2260481804
8400	1772	253815090.5	1224815290
8420	276	55103723.84	249108292.1
8421	276	55103723.84	249108292.1
8430	251	65033202.76	336647537.3
8431	251	65033202.76	336647537.3
8432	251	65033202.76	336647537.3
8433	251	65033202.76	336647537.3
8434	251	65033202.76	336647537.3
8450	1276	68602259.15	310320871.1
8460	279	36021854.97	164262303.6
8470	286	46589677.71	208254020.7
8480	317	48187071.76	232039192.5
8490	275	68370458.4	277229773.8
8500	992	315367458.8	1373285852
8501	992	315367458.8	1373285852
8510	992	315367458.8	1373285852
8511	992	315367458.8	1373285852
8520	1399	49198980.64	230100823.8
8530	1017	105340821.5	487360737.7
8531	1017	105340821.5	487360737.7
8540	746	47517114.33	212466215.1
8550	405	102535478.8	450063583.8
8551	405	102535478.8	450063583.8
8552	405	102535478.8	450063583.8
8553	405	102535478.8	450063583.8
8554	405	102535478.8	450063583.8
8560	815	120858742.3	553952814.2
8570	358	62246883.13	269071993.5
8572	358	62246883.13	269071993.5
8573	358	62246883.13	269071993.5
8580	470	36129343.39	171238324.4
8581	470	36129343.39	171238324.4
8582	470	36129343.39	171238324.4
8583	470	36129343.39	171238324.4
8587	191	7388827.529	34391362.31
8600	114	54735667.55	269422135.6
8610	231	41241194.38	203922901
